report_id,country,region,date_reported,species,disease,confirmed_cases,deaths,outbreak_status,notes,source,latitude,longitude
9c89502c-2e72-4503-b22b-80855aba00b2,Japan,N/A,2024-10-02,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
5ed2e516-ef72-4209-864b-5dd09b70efc7,Japan,N/A,2024-10-02,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
1e15d309-f42b-4408-bc49-1deafde85bf5,Japan,N/A,2024-10-02,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
938c10c4-569a-4544-9b62-6bb80514de14,Poland,N/A,2024-10-01,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
013e6bb0-72d1-4a4e-a075-61f53a181d1c,Serbia,N/A,2024-10-01,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
f39565b3-ca84-47b6-a9a9-7cf884a07694,Sweden,N/A,2024-10-01,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
f5f6b4f7-cf24-486b-b670-9b789f794169,South Africa,N/A,2024-09-30,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
4a377924-14a7-48f5-9198-68712aaf167b,United States of America,N/A,2024-09-27,Canine,Rabies virus (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
5c9d5fc6-4cc0-4a87-b0bc-c8b2d358026f,Zimbabwe,N/A,2024-09-26,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
b64d7541-92bd-4f30-98f3-ed5a99cfec5b,Zimbabwe,N/A,2024-09-26,Unknown,Anthrax,0,0,Resolved,Unexpected change or increase,https://wahis.woah.org,,
84807752-1a46-4747-b15c-4add1c4cb229,India,N/A,2024-09-26,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
67bc2768-c5aa-43e1-ad23-705cc709208e,Italy,N/A,2024-09-25,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
5f217a32-ba9e-4550-86e2-954a31304478,Mozambique,N/A,2024-09-23,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
be883588-61d8-484d-a598-525465444845,Sweden,N/A,2024-09-20,Swine,African swine fever virus (Inf. with),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
7fff363b-e142-49b6-86a2-18e79a24c7ec,China (People's Rep. of),N/A,2024-09-19,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
93fd5c9e-cef9-44c1-a3bd-dc05c03f5d7d,Armenia,N/A,2024-09-19,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
d87663e2-9f86-4d6d-a167-d59956bd6572,Israel,N/A,2024-09-18,Unknown,Crimean Congo haemorrhagic fever (2006-),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
c6236e5a-2f88-45ab-8048-79a162f58316,Thailand,N/A,2024-09-18,Unknown,Lumpy skin disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
36cbc4e8-b211-47e5-8052-5af1d303138f,Armenia,N/A,2024-09-18,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
b0c6a153-be78-4fa0-92b1-57fc7476c537,Denmark,N/A,2024-09-16,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
c690a42a-452d-4aa6-8e8d-ae843f71dc06,Denmark,N/A,2024-09-16,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
2d8d610e-cc82-4a60-9f31-e7a50c648e9e,Denmark,N/A,2024-09-16,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
ddcbc50e-db51-4b40-ba3b-447b48eb98c5,Netherlands,N/A,2024-09-11,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
d049bcc1-201b-4145-b749-7630ad158e66,Armenia,N/A,2024-09-10,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
aa79573c-99e9-4f99-86ae-e57461253b3b,Germany,N/A,2024-09-10,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Unusual host species,https://wahis.woah.org,,
425e9955-aa35-4fdf-b7c7-58cfea134246,Russia,N/A,2024-09-10,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
ab2be1e0-4d87-41e9-ae7c-f2a0fa86735c,Latvia,N/A,2024-09-09,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
804a9201-6254-4846-a6d8-fff55020e20e,Hong Kong,N/A,2024-09-09,Poultry,Avian infectious bronchitis,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
b1f75a48-c4f5-4e7d-a1a3-f57ccafcf113,India,N/A,2024-09-09,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
d48c06c4-3088-4832-aed8-285974ba6bb1,Melilla,N/A,2024-09-06,Canine,Rabies virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
af7ffd17-03e2-41b5-952a-3ef6c55ba037,Ukraine,N/A,2024-09-06,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
dd6b6134-7739-4b47-9601-d33406d677b1,Estonia,N/A,2024-09-05,Unknown,Coxiella burnetii (Q fever) (Inf. with),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
e72f270c-cedc-4bfc-a98d-f701597452a8,Faeroe Islands,N/A,2024-09-05,Unknown,Infectious salmon anaemia virus (Inf. with) (HPR-deleted or HPR0 genotypes),0,0,Resolved,Recurrence,https://wahis.woah.org,,
b7a2b729-9f70-4bc9-ae8c-9bd6ba0962f2,Bulgaria,N/A,2024-09-05,Goat,Sheep pox and goat pox,0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
